instance_name,num_jobs,num_machines,makespan,optimality_gap,optimum,upper_bound,lower_bound
abz5,10,10,1328,1.0761750405186385,1234.0,1234,1234
abz6,10,10,1022,1.0837751855779427,943.0,943,943
abz7,20,15,842,1.2835365853658536,656.0,656,656
abz8,20,15,848,1.2946564885496183,,665,645
abz9,20,15,854,1.2595870206489677,678.0,678,678
ft06,6,6,59,1.0727272727272728,55.0,55,55
ft10,10,10,1132,1.217204301075269,930.0,930,930
ft20,20,5,1564,1.342489270386266,1165.0,1165,1165
la01,10,5,697,1.0465465465465464,666.0,666,666
la02,10,5,838,1.2793893129770992,655.0,655,655
la03,10,5,714,1.1959798994974875,597.0,597,597
la04,10,5,702,1.1898305084745762,590.0,590,590
la05,10,5,593,1.0,593.0,593,593
la06,15,5,926,1.0,926.0,926,926
la07,15,5,944,1.060674157303371,890.0,890,890
la08,15,5,916,1.0614136732329085,863.0,863,863
la09,15,5,951,1.0,951.0,951,951
la10,15,5,958,1.0,958.0,958,958
la11,20,5,1222,1.0,1222.0,1222,1222
la12,20,5,1039,1.0,1039.0,1039,1039
la13,20,5,1150,1.0,1150.0,1150,1150
la14,20,5,1292,1.0,1292.0,1292,1292
la15,20,5,1418,1.1748135874067938,1207.0,1207,1207
la16,10,10,1059,1.1206349206349207,945.0,945,945
la17,10,10,925,1.1798469387755102,784.0,784,784
la18,10,10,931,1.0978773584905661,848.0,848,848
la19,10,10,1024,1.2161520190023754,842.0,842,842
la20,10,10,990,1.0975609756097562,902.0,902,902
la21,15,10,1278,1.2217973231357553,1046.0,1046,1046
la22,15,10,1090,1.1758360302049622,927.0,927,927
la23,15,10,1048,1.0155038759689923,1032.0,1032,1032
la24,15,10,1057,1.1304812834224598,935.0,935,935
la25,15,10,1116,1.1422722620266121,977.0,977,977
la26,20,10,1410,1.1576354679802956,1218.0,1218,1218
la27,20,10,1505,1.2186234817813766,1235.0,1235,1235
la28,20,10,1462,1.2023026315789473,1216.0,1216,1216
la29,20,10,1327,1.1519097222222223,1152.0,1152,1152
la30,20,10,1478,1.0907749077490776,1355.0,1355,1355
la31,30,10,1928,1.0807174887892377,1784.0,1784,1784
la32,30,10,1892,1.0227027027027027,1850.0,1850,1850
la33,30,10,1924,1.1192553810354857,1719.0,1719,1719
la34,30,10,1818,1.0563625798954097,1721.0,1721,1721
la35,30,10,1987,1.052436440677966,1888.0,1888,1888
la36,15,15,1655,1.305205047318612,1268.0,1268,1268
la37,15,15,1624,1.1624910522548317,1397.0,1397,1397
la38,15,15,1392,1.1638795986622072,1196.0,1196,1196
la39,15,15,1470,1.1922141119221412,1233.0,1233,1233
la40,15,15,1467,1.2004909983633387,1222.0,1222,1222
orb01,10,10,1277,1.2058545797922569,1059.0,1059,1059
orb02,10,10,1031,1.1610360360360361,888.0,888,888
orb03,10,10,1203,1.1970149253731344,1005.0,1005,1005
orb04,10,10,1166,1.1601990049751243,1005.0,1005,1005
orb05,10,10,961,1.0834272829763247,887.0,887,887
orb06,10,10,1230,1.2178217821782178,1010.0,1010,1010
orb07,10,10,459,1.1561712846347607,397.0,397,397
orb08,10,10,1090,1.2124582869855396,899.0,899,899
orb09,10,10,1169,1.2516059957173447,934.0,934,934
orb10,10,10,1150,1.2182203389830508,944.0,944,944
swv01,20,10,1758,1.2494669509594882,1407.0,1407,1407
swv02,20,10,1661,1.1261016949152542,1475.0,1475,1475
swv03,20,10,1741,1.2453505007153076,1398.0,1398,1398
swv04,20,10,1825,1.2465846994535519,1464.0,1464,1464
swv05,20,10,1797,1.261938202247191,1424.0,1424,1424
swv06,20,15,2058,1.2468948803392912,,1671,1630
swv07,20,15,1980,1.2745413582233667,,1594,1513
swv08,20,15,2189,1.2789950335962605,,1752,1671
swv09,20,15,2025,1.2317518248175183,,1655,1633
swv10,20,15,2054,1.2061068702290076,,1743,1663
swv11,50,10,3785,1.2688568555145827,2983.0,2983,2983
swv12,50,10,3631,1.2207093629181376,,2977,2972
swv13,50,10,3848,1.2396907216494846,3104.0,3104,3104
swv14,50,10,3765,1.2685309973045822,2968.0,2968,2968
swv15,50,10,4021,1.3937608318890815,2885.0,2885,2885
swv16,50,10,2924,1.0,2924.0,2924,2924
swv17,50,10,2794,1.0,2794.0,2794,2794
swv18,50,10,2852,1.0,2852.0,2852,2852
swv19,50,10,2879,1.0126626802673233,2843.0,2843,2843
swv20,50,10,2823,1.0,2823.0,2823,2823
yn1,20,20,1135,1.2839366515837105,884.0,884,884
yn2,20,20,1166,1.314543404735062,,904,870
yn3,20,20,1096,1.2518560822387208,,892,859
yn4,20,20,1261,1.3294675803900897,,968,929
ta01,15,15,1449,1.1770917952883835,1231.0,1231,1231
ta02,15,15,1557,1.2516077170418007,1244.0,1244,1244
ta03,15,15,1550,1.2725779967159276,1218.0,1218,1218
ta04,15,15,1594,1.356595744680851,1175.0,1175,1175
ta05,15,15,1518,1.2401960784313726,1224.0,1224,1224
ta06,15,15,1381,1.115508885298869,1238.0,1238,1238
ta07,15,15,1465,1.1939690301548491,1227.0,1227,1227
ta08,15,15,1455,1.1955628594905505,1217.0,1217,1217
ta09,15,15,1538,1.207221350078493,1274.0,1274,1274
ta10,15,15,1666,1.3424657534246576,1241.0,1241,1241
ta11,20,15,1722,1.2689756816507,1357.0,1357,1357
ta12,20,15,1631,1.193123628383321,1367.0,1367,1367
ta13,20,15,1824,1.3591654247391953,1342.0,1342,1342
ta14,20,15,1521,1.1308550185873607,1345.0,1345,1345
ta15,20,15,1618,1.2083644510828977,1339.0,1339,1339
ta16,20,15,1711,1.2580882352941176,1360.0,1360,1360
ta17,20,15,1798,1.2298221614227087,1462.0,1462,1462
ta18,20,15,1807,1.303281644428417,,1396,1377
ta19,20,15,1716,1.2882882882882882,1332.0,1332,1332
ta20,20,15,1695,1.2574183976261128,1348.0,1348,1348
ta21,20,20,2297,1.3989037758830694,1642.0,1642,1642
ta22,20,20,2136,1.3514710534640937,,1600,1561
ta23,20,20,2020,1.313821138211382,,1557,1518
ta24,20,20,2225,1.3534063260340632,1644.0,1644,1644
ta25,20,20,1926,1.2216936251189343,,1595,1558
ta26,20,20,2189,1.3537414965986394,,1643,1591
ta27,20,20,2255,1.3535414165666266,,1680,1652
ta28,20,20,2141,1.3356207111665628,1603.0,1603,1603
ta29,20,20,2124,1.3283302063789868,,1625,1573
ta30,20,20,1873,1.207218820496294,,1584,1519
ta31,30,15,2178,1.2346938775510203,1764.0,1764,1764
ta32,30,15,2170,1.219786396852164,,1784,1774
ta33,30,15,2321,1.3006444382179883,,1791,1778
ta34,30,15,2338,1.2786436970194148,,1829,1828
ta35,30,15,2385,1.188340807174888,2007.0,2007,2007
ta36,30,15,2209,1.2144035184167126,1819.0,1819,1819
ta37,30,15,2300,1.2987012987012987,1771.0,1771,1771
ta38,30,15,2119,1.2665869695158398,1673.0,1673,1673
ta39,30,15,2366,1.3181058495821727,1795.0,1795,1795
ta40,30,15,2205,1.3283132530120483,,1669,1651
ta41,30,20,2692,1.3766300178982358,,2005,1906
ta42,30,20,2615,1.3687516356974614,,1937,1884
ta43,30,20,2658,1.4544459644322845,,1846,1809
ta44,30,20,2809,1.4306086070791952,,1979,1948
ta45,30,20,2655,1.3284963722792094,,2000,1997
ta46,30,20,3095,1.562736682655895,,2004,1957
ta47,30,20,2532,1.37012987012987,,1889,1807
ta48,30,20,2649,1.3764614185502728,,1937,1912
ta49,30,20,2609,1.338291869710182,,1968,1931
ta50,30,20,2757,1.4680511182108626,,1923,1833
ta51,50,15,3109,1.1264492753623188,2760.0,2760,2760
ta52,50,15,3171,1.1505805515239478,2756.0,2756,2756
ta53,50,15,3018,1.110783952889216,2717.0,2717,2717
ta54,50,15,3067,1.0803099682986967,2839.0,2839,2839
ta55,50,15,3105,1.1590145576707727,2679.0,2679,2679
ta56,50,15,3365,1.2099964041711615,2781.0,2781,2781
ta57,50,15,3254,1.1056744818212707,2943.0,2943,2943
ta58,50,15,3420,1.1854419410745234,2885.0,2885,2885
ta59,50,15,3164,1.191713747645951,2655.0,2655,2655
ta60,50,15,3017,1.1079691516709511,2723.0,2723,2723
ta61,50,20,3795,1.3232217573221758,2868.0,2868,2868
ta62,50,20,3636,1.2673405367723947,2869.0,2869,2869
ta63,50,20,3487,1.2656987295825772,2755.0,2755,2755
ta64,50,20,3513,1.3001480384900075,2702.0,2702,2702
ta65,50,20,3662,1.3438532110091743,2725.0,2725,2725
ta66,50,20,3798,1.3349736379613357,2845.0,2845,2845
ta67,50,20,3784,1.3394690265486726,2825.0,2825,2825
ta68,50,20,4009,1.440014367816092,2784.0,2784,2784
ta69,50,20,3895,1.2683165092803648,3071.0,3071,3071
ta70,50,20,4071,1.3592654424040067,2995.0,2995,2995
ta71,100,20,6698,1.2258418740849195,5464.0,5464,5464
ta72,100,20,5996,1.1573055394711447,5181.0,5181,5181
ta73,100,20,6302,1.1318247126436782,5568.0,5568,5568
ta74,100,20,6128,1.1477804832365612,5339.0,5339,5339
ta75,100,20,6188,1.1476261127596439,5392.0,5392,5392
ta76,100,20,6482,1.2134032197678772,5342.0,5342,5342
ta77,100,20,6130,1.1276674025018396,5436.0,5436,5436
ta78,100,20,6297,1.1674082313681868,5394.0,5394,5394
ta79,100,20,6171,1.1517357222844344,5358.0,5358,5358
ta80,100,20,6491,1.2523634960447618,5183.0,5183,5183
